,0
0,구증구포황정차
1,['동굴레']
2,돈황정
3,['돼지고기']
4,둥굴레차(황정)
5,['둥굴레뿌리']
6,맛별 황정 순 장아찌
7,"['대잎둥굴레어린잎', '간장소스']"
8,상황정
9,"['상황버섯등 추출복합물(기능성원료인정제2019-8호)', '갈근숙지황혼합추출 농축액', '노루궁뎅이버섯추출물분말', '대보농축액', '대추농축액', '과당', '기타과당', '덱스트린', '잔탄검']"
10,진황정차 (9증 9포)
11,['둥굴레']
12,티테라피 황정
13,['황정']
14,티테라피 황정차
15,['황정']
16,파워 강황정
17,"['강황가루', '분말결정포도당', '프락토올리고당(고시형)', '이산화규소', '스테아린산마그네슘', '유산균혼합분말', '비타민미네랄혼합분말']"
18,하수오 황정 머위환
19,"['건조하수오', '둥굴레', '머위', '다시마', '찹쌀']"
20,홍삼보황정
21,"['식물혼합농축액', '프락토올리고당', '덱스트린', '대추농축액', '홍삼농축액', '허브향', '자몽종자추출물']"
22,황정
23,['건조둥굴레']
24,황정둥굴레차
25,['층층갈고리둥굴레']
26,황정리 보이 콜라겐정
27,"['포도당', '생선콜라겐펩타이드', '감귤농축액', '자일리톨', '비타민C', '밀리타리스동충하초', '구연산(무수)', '감귤향분말', '스테아린산마그네슘', '오렌지향분말', '바닐라향분말', '수크랄로스', '아세설팜칼륨', '비타민B6염산염', '분말비타민A혼합제제', '비타민B2', '비타민B1염산염', '치자황색소', '건꽃송이버섯', '건조노루궁뎅이버섯', '고형차', '고형차']"
28,황정분말
29,['황정']
30,황정살(냉동)
31,['돼지']
32,황정살(냉장)
33,['돼지']
34,황정원 돼지감자가루
35,['뚱딴지']
36,황정원 홍도라지 분말
37,['도라지']
38,황정인즉석누룽지탕
39,"['쌀', '찹쌀']"
